NO;SOAL;A;B;C;D;E;KUNCI;PEMBAHASAN;
146;Ny. D usia 26 tahun G1P0A0 hamil 22 minggu datang ke Bidan dengan keluhan nyeri perut, mual dan muntah, serta terdapat pengeluaran darah dan jaringan seperti anggur dari jalan lahir. Diagnosa kasus tersebut adalah É.;vasa previa;plasenta previa;solusio plasenta;retemsio plasenta;mola hidatidosa;5;"Stase     : asuhan kehamilan
Kunci masalah    : kehamilan mola hidatidosa
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : menurut Kemenkes RI (2016), diagnosa mola hidatidosa adalah perdarahan pervagina bercak hingga berjumlah banyak, mual dan muntah hbat, ukuran uterus lebih besar dari kehamilan. Tidak ditemukan janin intrauteri, nyeri perut, serviks terbuka, keluar jaringan nyeri anggur, tidak ada janin.
Penyelesaian   : data pada kasus yang menjadi ciri khas mola hidatidosa adalah pengeluaran jaringan seperti anggur dari jalan lahir.
";
147;Ny. P usia 20 tahun P1A0 6 jam postpartum mengeluh ASInya belum keluar. Ny.P meminta bidan memberikan susu formula agar bayinya tidak menangis. Asuhan yang tepat untuk Ny. P adalah ÉÉ;memberikan makanan pendamping ASI;memotivasi ibu untuk tetap menyusui bayinya;memberikan susu formula  pada bayi dengan botol;memberikan susu formula pada bayi dengan sendok;memberikan ASI dan susu formula secara bergantian;2;"Stase     : asuhan nifas
Kunci masalah    : penanganan ASI belum keluar
Kompetensi    : keterampilan klinis dalam praktik kebidanan
Tinjauan (sub kompetensi)  : konseling dan pendidikan kesehatan
Konsep teori   : menurut Putra (2012), pemberian ASI secara eskluisf sejak dini atau segera setelah bayi lahir sangat dianjurkan. Hal ini tak lain karena ASI esklusif memiliki peranan yang signifikan bagi tumbuh kembang bayi yang optimal. Oleh karena itu sebagai bidan sebaiknaya :
a. menganjurkan pemberian ASI dini dan ekslusif
b. menjelaskan tentang manfaat pemberian ASI dini dan perkembangan bayi.
Penyelesaian   : dikarenakan manfaat ASI bagi ibu dan bayi, sehingga mengajurkan ibu untuk ASI ekslusif adalah poin utama. Selain itu, ibu dapat diberikan penjelasan bahwa bila tetap menyusui bayinya akan merangsang produksi ASI sehingga ASI akan keluar.
";
148;Nn. R usia 20 tahun datang ke Bidan praktik mandiri dengan keluhan dalam 3 bulan terakhir haidnya tidak terarur dan saat haid darahnya berjumlah banyak dan lama kurang lebih 13 hari. Kondisi yang dialami Nn. R adalahÉ..;polimenorea;oligomenoria;menoragia;metroragia;menometroragia;4;"Stase     : kesehatan reproduksi
Kunci masalah    : gangguan menstruasi
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : metrogia adalah gangguan haid jika interval tidak teratur dengan jumlah darah dan durasi lebih dari normal. Karakteristik haid normal yaitu durasi 4-7 hari, jumlaha darah 30-80ml, dan interval 24-35 hari (Baziad, 2011)
Penyelesaian   : Ny. R haid tidak terartur, jumlah darah banyak (berarti melebihi 80ml) dan lama haid panjang, yaitu 13 hari merupakan tanda bahwa Ny.R mengalami metroragia.
";
149;Ny. S usia 30 tahun G3P1A0 sedang dalam inpartu kala II di Bidan Praktik Mandiri. Ny. S terlihat lelah. Bidan sudah memimpin persalinan selama setengah jam, tidak ada kemajuan penurunan kepala bayi. Kepala bayi masih di H III, DJJ 145x/menit. Posisi yang tepat untuk menyelesaikan sesuai kasus adalah ......;Jongkok;telentang;merangkak;setengah duduk;berbaring miring ke kiri;1;"Stase     : asuhan persalinan
Kunci masalah    : posisi meneran
Kompetensi    : keterampilan klinis dalam praktik kebidanan
Tinjauan (sub kompetensi)  : implementasi
Konsep teori   : menurut Aprilia (2017), posisi jongkong dapat meluruskan jalan lahir karena membantu tulang pangul untuk sejajar dengan jalan lahir. Selain itu, juga membantu memperpanjang tubuh ibu sehingga dapat memberikan ruang yang lebih banyak kepada bayi untuk masuk ke posisi yang lebih baik.
Penyelesaian   : posisi yang dibutuhkan sesuai kasus adalah yang dapat membantu penurunan kepala bay. Posisi jongkok dapat membantu karena memberikan ruang pada bayi untuk masuk ke posisi yang lebih baik.
";
150;Ny. R usia 37 tahun P4A0 datang ke RS dengan keluhan ingin KB dan tidak ingin punya anak lagi. Ny. R mengatakan pernah menggunakan alat kontrasepsi spiral tetapi tidak cocok. Jenis KB yang cocok untuk Ny. R adalah ÉÉ.;IUD;kondom;implan;vasektomi;tubektomi;5;"Stase     : asuhan keluarga berencana
Kunci masalah    : pemilihan kontrasepsi
Kompetensi    : komunikasi efektif
Tinjauan (sub kompetensi)  : konseling dan pendidikan kesehatan
Konsep teori   : menurut Affandi (2014), kontrasepsi yang sesuai untuk perempuan yang berusia lebih dari 35 tahun dan tidak ingin menambah anak lagi adalah kontrasepsi mantap. Tubektomi adalah metode kontrasepsi untuk perempuan yang tidak ingin anak lagi. Tubektomi termasuk metode efektif dan tidak menimbulkan efek samping jangka panjang. Ibu dengan paritas >2 dapat menjalani tubektomi.
Penyelesaian   : Ny. R sebaiknya menggunakan tubektomi karena sudah memenuhi syarat untuk kontarsepsi mantap.
";
151;Ny. J usia 30 tahun baru saja melahirkan bayinya di RS hasil pemeriksaan bayi: bayi menangis spontan, kulit kemerahan, TTV normal, terdapat tanda krepitasi pada tulanng kiavikula. Kasus pada bayi Ny. S disebabkan oleh É.;partus macet;parus tidak maju;makrosomia;distosia bahu;episiotomi;4;"Penyelesaian   : Ny. R sebaiknya menggunakan tubektomi karena sudah memenuhi syarat untuk kontarsepsi mantap.
Stase     : asuhan bayi baru lahir
Kunci masalah    : komplikasi distosis bahu
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : komplkasi distosia bahu pada janin adalah fraktur tulang (klavikula dan humereus), cidera pleksus brakhalisis, dan hipoksia yang dapat menyebabkan kerusakan permanen di otak. (Saifuddin,2010)
Penyelesaian   : tanda krepitasi pada tulang klavikula menunjukan adanya fraktur pada tulang tersebut, hal itu dapat disebabkan oleh distosia bahu.
";
152;Seorang remaja perempuan berumur 16 tahun diantar ibunya datang ke Bidan Praktik Mandiri, Ibu mengatakan bahwa anaknya di rumah mudah menangis, sering merasa cemas, dan mudah frustasi serta bersikap lebih agresif. Apakah perubahan yang terjadi pada kasus tersebut?;Inteligensi;Fisik;Abstrak;Adaptasi;Emosi;5;Kasus yang dialami oleh remaja tersebut dilihat dari tanda - tanda perubahan berupa mudah menangis, sering merasa cemas, mudah frustasi serta sikap lebih agresif merupakan tanda - tanda dari perubahan emosi;
153;Seorang perempuan berusia 30 tahun, P3A0 datang ke BIdan Praktik Mandiri mengatakan saat ini tidak sedang menggunakan alat kontrasepsi apapun dan mengeluh keputihan yang banyak, berbau, berbusa, dan berwarna kuning kehijauan. Hasil pemeriksaan dalam menunjukkan vagina mengalami pembengkakan dan terdapat abses kecil, serta terdapat banyak sekret. Apakah kuman penyebab kasus tersebut?;Treponema pallidum;Neisseria gonorrhoeae;Chlamydia trachomatis;Herpes simplex virus;Trichomonas vaginalis;5;Berdasarkan tanda - tanda yang dialami dapat disimpulkan bahwa ibu mengalami vaginitis. Penyakit ini disebabkan oleh organismeTrichomonas vaginalis;
154;Seorang perempuan berusia 54 tahun datang ke Poli Kebidanan mengeluh pusing, berkeringat banyak, wajah terasa ada semburan panas, dada terasa berdebar - debar, dan saat melakukan hubungan seksual terasa nyeri. Hormon apakah yang menyebabkan kondisi tersebut?;Estrogen naik, gonadotropin naik;Estrogen naik, gonadotropin turun;Estrogen turun, gonadotropin turun ;Estrogen turun, gonadotropin naik;Progesteron turun, gonadotropin naik;4;Berdasarkan kasus yang dialami iu mengeluhkan wajah terasa ada semburan panas. Hal ini berhubungan dengan dengan penurunan kadar estrogen dan peningkatan FSH serta LH yang menyebabkan terjadinya pelebaran pembulu darah sehingga ibu merasakan gejala berupa panas di bagian wajah. Selain itu penurunan estrogen juga menyebabkan vagina menjadi kering sehingga ibu merasakan nyeri saar berhubungan seksual karena kurangnya produksi lendir di kelenjar vagina. Penurunan hormon tersebut juga menyebabkan gangguan vasometrik seperti yang dialami ibu yaitu pusing dan dada terasa berdebar - debar.;
155;Seorang perempuan umur 14 tahun datang ke Bidan Praktik Mandiri ditemani ibunya mengeluh belum pernah menstruasi, setiap bulan merasakan nyeri siklik +5 hari. Hasil pemeriksaan KU baik, muka pucat dan perut membesar dengan TFU 3 jari di bawah pusat, serta teraba lunak dengan ballotemen negatif. Apakah jenis hymen pada kasus di atas?;Anularis;Impervorata;Cribiformis;Septate;Seminularis;2;Remaja pada kasus tersebut belum pernah menstruasi sehingga setiap bulan merasakan nyeri. Selain itu hasil pemeriksaan KU baik, muka pucat dan perut membesar dengan TFU 3 jari di bawah pusat, serta teraba lunak dengan ballotemen negatif. Hal ini menunjukkan bahwa hymen pada remaja itu tertutup atau termasuk hymen imperforatus;
156;Seorang perempuan berusia 36 tahun P2A0 datang ke rumah sakit mengatakan mengalami keputihan, mengeluh sakit. panas di daerah pinggang, perut terasa kembung, nyeri BAK nyeri daerah simfisis Masil pemeriksaan suhu 39¡C. PPV. Nuor albus berbau busuk, pemeriksaan dalam: nyeri goyang serviks, nyeri tekan adneksi bilateral. Apakah diagnosis pada kasus tersebut? ;Kista ovarium;Apendiksitis;Kehamilan ektopik;Radang panggul;Abortus;4;Berdasarkan keluhan yang dialami ibu seperti hasil pemeriksaan oleh petugas dapat disimpulkan bahwa ibu megalami tanda dan gejala radang panggul;
157;Seorang perempuan berusia 50 tahun datang ke poli kandungan mengeluh menstruasi tidak teratur, hanya berupa bercak dan sering merasakan hawa panas menjalar pada wajahnya, pegal-pegal, dan sulit mengontrol emosinya. Apakah penyebab kondisi pada kasus tersebut?;Penurunan FSH dan LH;Penurunan progesteron;Peningkatan estrogen;Peningkatan progesteron;Penurunan estrogen;5;Keluhan ibu alami berupa menstruasi tidak teratur, hanya berupa bercak, hawa panas menjalar di bagian wajah, pegal - pegal dan sulit mengontrol emosi merupakan efek dari penurunan hormon estrogen pada masa menopouse;
158;Seorang remaja putri berusia 15 tahun datang ke Bidan Praktik Mandiri bersama ibunya mengatakan mual dan muntah serta belum mendapatkan haid selama 10 hari. Ibu meminta bidan untuk memberi obat agar dapat haid. Hasil pemeriksaan menunjukkan terdapat pembesaran payudara, areola menghitam, palpasi abdomen teraba tegang dan PP tes +. Apakah tindakan yang tepat dilakukan oleh bidan pada kasus tersebut?;Memberikan terapi hormonal agar haid;Memberikan konseling tentang siklus haid;Memberikan terapi kontrasepsi darurat;Memberikan pendampingan dan konseling tentang kehamilan;Informasi tentang risiko aborsi;4;Berdasarkan kasus yang terjadi seorang bidan dapat melakukan pendampingan terhadap remaja yang hamil di luar nikah dengan melakukan pendekatan agar remaja tersebu ;
159;Seorang perempuan pernah melahirkan satu kali, berusia 34 tahun P2A1 datang ke puskesmas mengatakan mengalami keputihan, mengeluh sakit, panas di daerah pinggang, perut terasa kembung, nyeri BAK, nyeri daerah simfisis dan mengatakan suami bekerja sebagai sopir dan sering keluar kota Hasil pemeriksaan suhu 40 ¡C, PPV: fluor albus berbau busuk, pemeriksaan dalam: nyeri goyang serviks. Apakah asuhan yang diberikan bidan dalam kasus tersebut? ;Pemeriksaan laboratorium ;Rujuk ke dokter SpOG;Berikan antipiretik;Berikan antibiotik;Berikan analgetik;1;Berdasarkan tanda gejala dan hasil pemeriksaan dapat disimpulkan bahwa ibu mengalami penyaktadang panggul. Tidak ada pengkajian yang menyatakan ibu mnggunakan KB AKDR sehingga untuk penanganan yang bisa dilakukan oleh bidan adalah dengan merujuk ke laboratorium untuk dilakukan pemeriksaan ada tidaknya Neisseria Gonorrhoeae atau Chlamydia trachomatis untuk menegakkan diagnosis;
160;Seorang perempuan berusia 50 tahun datang ke bidan, mengeluh sudah satu tahun haidnya tidak teratur. Dalam tiga bulan terakhir terjadi gangguan tidur. Merasa panas pada wajah menyebar ke leher dan dada, berkeringat, dan jantung berdebar-debar. Hasil pemeriksaan HD 12 gr%, TD 130/80 mmHg, Suhu 37 ¡C, dan Nadi 88x/menit. Bagaimana saran bidan untuk kasus di atas?;Terapi Sulih Hormon;Fisioterapi;Relaksasi;Olahraga;Mengurangi aktivitas;1;Keluhan yang dialami oleh ibu dalam kasus tersebut adalah gangguan tidur dan gejala hot flashes sehingga terapi untuk menangani gejala tersebut adalah dengan penggunaan terapi sulih hormon  estrogen yang  mampu memperbaiki pola tidur serta mengurangi gejala hot flashes;
161;Seorang remaja perempuan berusia 16 tahun datang dengan keluarganya ke puskesmas. Keluarga mengatakan bahwa remaja tersebut menjadi korban perkosaan. Remaja tersebut sedih karena takut hamil, ingin menyendiri, dan khawatir dengan masa depannya. Apakah yang harus dilakukan bidan puskesmas untuk mengatasi masalah tersebut?;Memberikan kontrasepsi darurat;Segera melakukan pencucian vagina;Segera dikonsulkan ke bagian urologi;Segera laporkan ke pihak yang berwenang ;Segera mencari pria pemerkosa untuk dinikahkan;1;Ditinjau dari kasus tersebut yang bisa dilakukan oleh bidan adalah memberikan kontrasepsi post-coital untuk mencegah terjadinya kehamilan yang tidak diinginkan akibat perkosaan;
162;Pasangan suami istri datang ke Bidan Praktik Mandiri mengatakan telah 2 tahun menikah dan belum dikarunial anak meskipun mereka rutin melakukan hubungan seksual dan tidak menggunakan alat kontrasepsi. Apakah tindakan yang dapat dilakukan bidan?;Saran adopsi;Konseling genetik;Memberi obat hormonal;Pemeriksaan vaginal dan sondase uterus;Konsultasi dengan dokter SpOG;5;Sebaiknya bidan melakukan rujukan ke dokter spesialis kandungan agar mendapatkan pemeriksaan yang sesuai guna menegakkan diagnosis yang lebih tepat sehingga dokter dapat memutuskan tindakan yang tepat untuk pasutri tersebut atau merujuknya ke fasilitas kesehatan lebih tinggi;
163;Seorang perempuan berusia 52 tahun datang ke rumah sakit dengan keluhan saat ini menstruasi hari ke-4, darah keluar banyak sekali, 1 tahun terakhir menstruasinya tidak teratur dan tidak lancar, sering pusing dan sangat khawatir dengan kondisinya, setelah dilakukan pemeriksaan ditemukan pembalut penuh dengan darah haid. Apakah terapi yang didapatkan oleh perempuan tersebut?;Kalk;Zat besi;Feto estrogen ;Feto progesteron;Vitamin C;2;Untuk menangani anemia sebaiknya diberikan terapi zat besi;
164;Seorang perempuan berusia 17 tahun datang ke Bidan Praktik Mandiri mengeluh setiap menjelang menstruasi mengalami rasa nyeri dan pembesaran pada payudara. Disebut apakah keluhan pada kasus tersebut?;Tension;Mastalgia;Mittelschmerz;Radang pada mammae;Vicarious menstruation;2;Keluhan yang dialami remaja tersebut yaitu mengalami rasa tegang dan nyeri pada payudara menstruasi yang biasa disebut dengan mastalgia atau mastodinia;
165;Seorang perempuan berusia 23 tahun datang ke rumah sakit mengeluh saat ini siklus haidnya lebih panjang dari biasanya, yaits lebih dari 35 hari. Sebelumnya, siklus haid perempuan tersebut dalam batas normas Disebut apakah keadaan pada kasus di atas;Amenorea;Menoragia;Hipomenorea;Polimenorea;Oligomenorea;5;Keluhan yang dialami oleh perempuan dalam kasus yaitu mengeluh saat ini siklus haid lebih panjang yaitu lebih dari 35 hari yang biasa disebut dengan gejala oligomenore;
166;Ny Ani berusia 48 tahun datang ke klinik dengan keluhan merasa panas pada bagian muka, berkeringat malam hari sakit kepala, telinga sering berdengung berdebar-debar, sesak napas, mudah tersinggung, sulit tidur, dan sudah tiga bulan terakhir menstruasinya tidak teratur. Hasil pemeriksaan fisik dalam batas normal Apakah perubahan fisik yang terjadi pada klien tersebut?;Serviks membuka;Uterus membesar;Tuba memanjang;Vagina terasa kering;Epitel vagina menebal;4;Keluhan yang dialami merupakan tanda - tanda menopause dimana terjadi perubahan fungsi dan anatomi alat reproduksi salah satunya yaitu vagina kering karena berkurangnya produksi lendir oleh kelenjar;
167;Seorang remaja perempuan berusia 19 tahun bekerja sebagai pembantu rumah tangga datang ke puskesmas mengatakan dipaksa harus melayani majikan laki-lakinya untuk berhubungan seksual sehingga perempuan tersebut mengalami trauma. Apakah masalah yang dialami remaja tersebut?;KDRT;Perkosaan;Pengaruh obat-obatan;Penyalahgunaan hak perempuan;Kekerasan ekonomi;2;Menurut hasil pemeriksaan yang dialami remaja pada kasus dapat disimpulkan bahwa tindakan yang dilakukan oleh majikannya merupakan tindakan perkosaan;
168;Seorang perempuan berusia 32 tahun telah melahirkan anak keduanya 3 hari yang lalu datang ke rumah sakit dengan keluhan keluar cairan dari jalan lahir berbau, perut membesar, lembek dan terasa nyeri saat diraba. Hasil pemeriksaan fisik suhu 40 ¡C, Nadi 88x/menit. PPV darah. Apakah diagnosis dalam kasus tersebut?;Myometritis;Parametritis;Endometritis;Adneksitis;Salpingitis;3;Menurut keluhan yang dialami wanita tersebut dapat disimpulkan bahwa dia mengalami endometritis atau infeksi pada endometrium pada masa nifas;
169;Seorang perempuan berusia 63 tahun datang ke RS mengeluh sudah tidak menstruasi selama 1 tahun, mengeluh keluar darah dari kemaluan, berbau busuk, dan sering merasa nyeri pada pinggang, Apakah diagnosis pada kasus tersebut?;Infeksi genetalis;Kanker serviks;Endometritis;Bartholinitis;Vaginitis;2;Dari hasil pemeriksaan dapat ditarik kesimpulan bahwa wanita tersebut terkena kanker serviks;
170;Seorang perempuan berusia 13 tahun datang ke Bidan Praktik Mandiri diantar ibunya mengeluh mengeluarkan darah dari kemaluannya. Ia merasa lebih sensitif, suka menyendiri, dan tidak percaya diri lagi karena peristiwa ini baru pertama kali dialami. Bagaimana bidan menjelaskan keluhan yang dialami perempuan tersebut?;Penyakit yang dapat disembuhkan;Keadaan normal yang dialami semua wanita;Hal tersebut dapat terjadi kapan saja;Hal yang abnormal;Kelainan alat reproduksi;2;Berdasarkan keluhhan yang dialami remaja dapat disimpulkan bahwa remaja tersebut mengalami menstruasi pertama kali dan hal tersebut kejadian normal yang dialami semua perempuan;
171;Seorang perempuan berusia 50 tahun datang ke bidan, mengeluh sudah satu tahun haidnya tidak teratur, dalam tiga bulan terakhir terjadi gangguan tidur, merasa panas pada wajah menyebar ke leher dan dada, berkeringat, dan jantung berdebar-debar. Hasil pemeriksaan Hb 12 gr%, TD 130/80 mmHg, suhu 37 ¡C, dan Nadi 88x/menit. Bagaimana bidan menjelaskan mengenai keluhan yang dialami wanita tersebut?;Menyarankan ibu untuk melakukan pemeriksaan ke rumah sakit;Memberikan pendidikan kesehatan kepada ibu mengenai menopause;Menjelaskan kepada ibu bahwa keluhan tersebut hal yang abnormal.;Menawarkan senam lansia.;Menjelaskan bahwa hal tersebut dapat terjadi kapan saja.;2;Pada kasus tersebut bidan perlu menjelaskan mengenai menopause agar ibu memahami tanda gejala yang dialaminya merupakan hal yang normal terjadi saat usianya dan gangguan usus;
172;Seorang perempuan berusia 56 tahun datang ke Bidan Praktik Mandiri dengan keluhan sudah tidak mengalami menstruasi, malas berhubungan seksual dengan suaminya karena sering merasa nyeri. Apakah asuhan yang tepat pada kasus tersebut?;Tidak perlu tindakan;Ganti pasangan seksual;Menganjurkan untuk menggunakan krim/jelly saat berhubungan seksual;Memberikan konseling untuk tidak berhubungan seksual;Menggunakan obat antibiotik yang baik sebelum melakukan hubungan seksual;3;;
173;Seorang remaja berusia 15 tahun datang ke Bidan Praktik Mandiri, mengeluh merasa lebih sensitif, cemas, susah tidur, sakit perut dan sakit payudara setiap menjelang menstruasi. Bidan memberikan informasi mengenai masalah tersebut. Apakah informasi yang diberikan bidan kepada remaja tersebut?;Seks pra nikah;Perkawinan pada usia wajar ;Kenakalan remaja;Pencegahan kekerasan seksual;Informasi tentang kesehatan reproduksi ;4;Berdasarkan keluhan yang dialami tindakan yang dapat dilakukan oleh bidan adalah memberikan konseling tentang kesehatan reproduksi. Dalam hal ini bidan mampu melakukan pendekatan caring dengan menginformasikan mengenai premenstruasi sindrom (PMS);
174;Seorang perempuan berusia 22 tahun datang ke rumah sakit mengeluh sering nyeri perut bagian bawah, dan mengeluarkan cairan keputihan dari alat kelamin. Hasil pemeriksaan menunjukkan adanya Chlamydia trachomatis, Apakah terapi yang diberikan pada pasien tersebut?;Nistatin;Kanamisin;Ampisilin;Doksisiklin;Ketokonazol;4;Berdasarkan keluhan yang dialami terapi yang dapat diberikan kepada perempuan tersebut sesuai dengan prosedur adalah terapi doksisiklin dengan dosis yang sudah ditentukan;
175;Seorang perempuan berusia 47 tahun datang ke Bidan Praktik Mandiri dengan keluhan merasa malas berhubungan seksual dengan suami karena sering merasa nyeri. Disebut apakah keluhan yang dialami pasien tersebut?;Neuralgia;Disuria;Dismenorea;Vaginismus;Dispareunia;5;Berdasarkan keluhan yang dialami diagnosis yang paling tepat adalah dispareunia dimana ibu merasa nyeri ketika berhubungan seksual;
176;Seorang gadis berusia 16 tahun datang ke Bidan Praktik Mandiri mengeluh saat ini siklus haidnya lebih pendek, yaitu kurang dari 21 hari. Dia merasa ketakutan dengan keadaannya. Apakah siklus menstruasi yang dialami gadis tersebut?;Polimenorea;Hipomenorea ;Dismenorea  ;Metroragia;Amenorea;1;Diagnosis yang tepat untuk keluhan remaja tersebut adalah polimenorea dimana siklus haid lebih pendek atau interval menstruasi lebih sering daripada interval normal;
177;Seorang perempuan berusia 33 tahun datang ke bidan, mengatakan tidak haid selama 2 bulan. Berdasarkan anamnesa, ibu menggunakan kontrasepsi kondom. Ibu tidak mau hamil karena alasan anaknya sudah 5 dan ekonominya juga sulit. Hasil pemeriksaan PP tes positif. Apakah diagnosis kasus tersebut?;Aborsi;Kehamilan;Gangguan psikis ;Konflik psikologis  ;Unwanted pregnancy;5;Berdasarkan keluhan yang dialami ibu mengatakan tidak ingin hamil lagi karena sudah memiliki banyak anak dan alasan ekonomi. Kehamilan ibu ini termasuk unwanted pregnancy atau kehamilan yang tidak disengaja;
178;Seorang perempuan berusia 29 tahun datang ke BPM bersama suaminya. Mereka mengatakan sudah 4 tahun menikah namun belum dikaruniai anak. Apakah diagnosis pada kasus tersebut?;Fertilitas;Infertilitas tersier;Infertilitas primer;Infertilitas sekunder;Infertilitas idiopatik;3;Berdasarkan keluhan yang dialami diagnosis yang paling tepat adalah infertilitas primer karena pasangan suami istri tersebut belum mengalami kehamilan;
179;Seorang perempuan berusia 32 tahun, GPA usia kehamilan 30 minggu, datang ke Bidan Praktik Mandiri mengeluh sering pusing, pandangan mata kabur, nyeri ulu hati, dan bengkak pada kakinya. Hasil pemeriksaan TD 150/100 mmHg dan protein urine ++. Apakah tujuan pemeriksaan yang bidan lakukan pada kasus tersebut?;Memberikan konseling pola aktivitas;Mengenali tanda-tanda persalinan;Penapisan dan pengobatan anemia;Memberikan pengobatan;Pengenalan komplikasi dan perencanaan persalinan;5;Tujuan pemeriksaan yang dilakukan bidan pada kasus tersebut yaitu untuk mendeteksi komplikasi dan mempersiapkan kelahiran dengan melakukan pemeriksaan rutin dan tambahan cek protein urine;
180;Seorang perempuan berusia 37 tahun GPA, datang ke Bidan Praktik Mandiri dengan keluhan badannya panas, sakit perut bagian bawah, dan mengalami perdarahan warna merah kehitaman. Hasil anamnesa adalah ia menggugurkan kandungan ditolong oleh dukun 9 hari yang lalu. Hasil pemeriksaan TD 90/60 mmHg, suhu 39 ¡C. Apakah golongan abortus pada kasus tersebut?;Abortus insipien;Abortus imminen;Abortus inkomplet;Abortus habitualis;Abortus komplet;3;Berdasarkan keluhan yang dialami ibu diagnosis yang paling tepat adalah abortus inkomplet. Selain itu mengatakan 9 hari yang lalu melakukan aborsi dibantu oleh dukun sehingga ada kemungkinan masih adanya sisa konsepsi;
;;;;;;;;;
